KNICKERBOCKER (M),350
KOSCIUSZKO ST (J),270
LACKAWANNA (1),578
LAFAYETTE AVE (C),290
LEFFERTS BLVD (A),516
LEXINGTON AVE (F),898
LEXINGTON AVE (NQR456),1040
LEXINGTON-53 ST (EM6),3118
LIBERTY AVE (C),160
LIVONIA AVE (L),227
LONGWOOD AVE (6),244
LORIMER ST (JM),316
LORIMER ST (LG),277
MAIN ST (7),4183
MARBLE HILL-225 (1),265
MARCY AVE (JMZ),1008
METROPOLITAN AV (GL),654
METROPOLITAN AV (M),305
METS-WILLETS PT (7),642
MIDDLETOWN ROAD (6),198
MONTROSE AVE (L),393
MORGAN AVE (L),357
MORRIS PARK (5),148
MORRISON AVE (6),469
MOSHOLU PARKWAY (4),463
MT EDEN AVE (4),385
MYRTLE AVE (JMZ),747
MYRTLE AVE (LM),1877103
MYRTLE-WILLOUGH (G),333
NASSAU AV (G),575
NECK ROAD (BQ),196
NEPTUNE AVE (F),84
NEREID AVE (25),198
NEVINS ST (2345),780
NEW LOTS AVE (3),436
NEW LOTS AVE (L),385
NEW UTRECHT AVE (ND),433
NEWARK BM BW (1),524
NEWARK C (1),195
NEWARK HM HE (1),610
NEWARK HW BMEBE (1),382
NEWKIRK AVE (25),494
NEWKIRK PLAZA (BQ),809
NORTHERN BLVD (MR),491
NORWOOD AVE (JZ),284
NORWOOD-205 ST (D),573
NOSTRAND AVE (3),328
NOSTRAND AVE (AC),1175
OCEAN PARKWAY (Q),196
ORCHARD BEACH (6),3
OXFORD-104 ST (A),96
PARK PLACE (23ACE),246
PARK PLACE (S),150
PARKSIDE AVE (BQ),343
PARSONS BLVD (F),492
PATH WTC (1),4108
PATH WTC 2 (1),79
PAVONIA/NEWPORT (1),1376
PELHAM BAY PARK (6),100320
PELHAM PARKWAY (25),535
PELHAM PARKWAY (5),188
PENNSYLVANIA AV (3),323
PRESIDENT ST (25),322
PRINCE ST-B'WAY (NR),1253
PROSPECT AVE (25),391
PROSPECT AVE (R),397
PROSPECT PARK (BQS),794
QUEENS PLAZA (EMR),796
QUEENSBORO PLZ (7NQ),587
RALPH AVE (C),331
RECTOR ST (1),697
RECTOR ST (R),309
RIT-MANHATTAN (R),194
RIT-ROOSEVELT (R),185
ROCKAWAY AVE (3),62
ROCKAWAY AVE (C),335
ROCKAWAY BLVD (A),100141
ROCKAWAY PK 116 (AS),58
ROCKAWAY PKY (L),622
ROOSEVELT AVE (EFMR7),3443
ROOSEVELT IS (F),441
SARATOGA AVE (3),442
SENECA AVE (M),227
SHEEPSHEAD BAY (BQ),983
SHEPHERD AVE (C),198
SIMPSON ST (25),464
SMITH-9 ST (FG),421
SOUTH FERRY (1R),1104
SPRING ST (6),928
SPRING ST (CE),536
ST LAWRENCE AVE (6),308
ST. GEORGE (1),477
STEINWAY ST (MR),984
STERLING ST (25),365
STILLWELL AVE (DFNQ),1204
SUTPHIN BLVD (EJZ),1674
SUTPHIN BLVD (F),282
SUTTER AVE (3),442
SUTTER AVE (L),311
THIRTY ST (1),737
THIRTY THIRD ST (1),1579
TOMPKINSVILLE (1),29
TREMONT AVE (BD),100083
TWENTY THIRD ST (1),660
UNION ST (R),452
UNION TPK-KEW G (EF),2016
UTICA AVE (AC),1082
VAN ALSTON-21ST (G),128
VAN SICLEN AVE (3),23
VAN SICLEN AVE (C),242
VAN SICLEN AVE (JZ),232
VAN WYCK BLVD (EF),266
VERNON/JACKSON (7),975
W 4 ST-WASH SQ (ABCDEFM),3402
W 8 ST-AQUARIUM (FQ),161
WAKEFIELD-241 (2),417
WALL ST (23),1781
WALL ST (45),1406
WASHINGTON-36 A (NQ),529
WESTCHESTER SQ (6),488
WHITEHALL ST (R1),1022
WHITLOCK AVE (6),132
WILSON AVE (L),324
WINTHROP ST (25),337
WOODHAVEN BLVD (JZ),277
WOODHAVEN BLVD (MR),1372
WOODLAWN ROAD (4),385
WORLD TRADE CTR (ACE23),759
YORK ST (F),590
ZEREGA AVE (6),106
